,location,continent,total_cases,total_cases_per_million,total_deaths,total_deaths_per_million,total_vaccinations,people_fully_vaccinated,population
200,Sweden,Europe,1149407.0,113128.84,14821.0,1458.737,13607052.0,6481560.0,10160159.0
201,Switzerland,Europe,836483.0,95976.545,11060.0,1269.004,10330401.0,4726409.0,8715494.0
202,Syria,Asia,33323.0,1823.35,2215.0,121.199,533949.0,248862.0,18275704.0
203,Taiwan,Asia,16198.0,679.019,842.0,35.297,14430076.0,2151885.0,23855008.0
204,Tajikistan,Asia,17484.0,1793.3,125.0,12.821,3872421.0,1565281.0,9749625.0
205,Tanzania,Africa,1367.0,22.228,50.0,0.813,350000.0,350000.0,61498438.0
206,Thailand,Asia,1571926.0,22471.866,16369.0,234.007,46023016.0,15899158.0,69950844.0
207,Timor,Asia,19398.0,14434.378,113.0,84.085,675891.0,251323.0,1343875.0
208,Togo,Africa,25252.0,2978.448,227.0,26.774,832822.0,387781.0,8478242.0
209,Tokelau,Oceania,,,,,968.0,,1368.0
210,Tonga,Oceania,,,,,73603.0,27477.0,106759.0
211,Trinidad and Tobago,North America,50055.0,35667.612,1464.0,1043.2,1045498.0,478787.0,1403374.0
212,Tunisia,Africa,705474.0,59105.894,24794.0,2077.286,7425277.0,3418333.0,11935764.0
213,Turkey,Asia,7066658.0,83095.375,63372.0,745.178,107840404.0,43560247.0,85042736.0
214,Turkmenistan,Asia,,,,,41993.0,9753.0,6117933.0
215,Turks and Caicos Islands,North America,,,,,52374.0,24928.0,39226.0
216,Tuvalu,Oceania,,,,,10861.0,4652.0,11925.0
217,Uganda,Africa,123245.0,2615.36,3146.0,66.761,2058553.0,415486.0,47123533.0
218,Ukraine,Europe,2503710.0,57600.484,59384.0,1366.191,12240363.0,5458913.0,43466822.0
219,United Arab Emirates,Asia,735180.0,73583.615,2094.0,209.587,19856161.0,8169550.0,9991083.0
220,United Kingdom,Europe,7737941.0,113447.712,136569.0,2002.269,93461887.0,44739473.0,68207114.0
221,United States,North America,43116432.0,129511.805,690426.0,2073.88,390114328.0,183670870.0,332915074.0
222,Uruguay,South America,388572.0,111493.559,6053.0,1736.797,6162074.0,2562682.0,3485152.0
223,Uzbekistan,Asia,172493.0,5082.927,1225.0,36.098,18526941.0,3700000.0,33935765.0
224,Vanuatu,Oceania,4.0,12.72,1.0,3.18,57184.0,14344.0,314464.0
225,Vatican,Europe,27.0,33251.232,,,,,812.0
226,Venezuela,South America,363300.0,12656.355,4412.0,153.702,14050000.0,5250000.0,28704947.0
227,Vietnam,Asia,766051.0,7803.404,18758.0,191.079,38367246.0,7946283.0,98168829.0
228,Wallis and Futuna,Oceania,,,,,10231.0,5016.0,11094.0
229,World,,232316272.0,29500.607,4756251.0,603.971,6133859009.0,2572860118.0,7874965732.0
230,Yemen,Asia,8988.0,294.779,1703.0,55.853,322934.0,14909.0,30490639.0
231,Zambia,Africa,208867.0,11039.099,3647.0,192.752,699210.0,382288.0,18920657.0
232,Zimbabwe,Africa,129919.0,8608.371,4607.0,305.258,5234875.0,2198252.0,15092171.0
